编号,行动名,级别,效果描述,目标,数值参考,冷却回合,条件触发
A01,普通劈砍,普通,对玩家造成物理伤害,玩家主将,伤害6~10,0,无
A02,弓箭射击,普通,对玩家造成远程伤害忽视地形阻碍,玩家主将,伤害5~8,0,无
A03,防御架势,普通,为自身增加护甲,自身,护甲+6~10,0,无
A04,整军备战,普通,为自身添加1层怒气,自身,怒气+1,0,无
A05,施毒,普通,对玩家施加2层中毒,玩家主将,中毒×2层,0,无
A06,虚张声势,普通,对玩家施加1层恐惧,玩家主将,恐惧×1层,0,无
A07,踢踹,普通,对玩家造成物理伤害并附加1层迟缓,玩家主将,伤害4~6+迟缓×1,0,无
A08,投石,普通,对玩家造成伤害并清除1点护甲,玩家主将,伤害3~5+清甲1,0,无
A09,扑击,普通,本回合对玩家造成2次小额物理伤害,玩家主将,3×2次,0,无
A10,喊话鼓舞,普通,为友军中随机一名增加护甲,随机友军,护甲+5,0,无
A11,积攒体力,普通,为自身恢复少量HP,自身,回血4~8,0,无
A12,踢沙遮眼,普通,对玩家施加1层盲目,玩家主将,盲目×1层,0,无
A13,偷摸钱袋,普通,从玩家处偷取少量金币,玩家金币,偷取3~8金,0,无
A14,挑衅嘲讽,普通,对玩家施加1层虚弱,玩家主将,虚弱×1层,0,无
A15,持盾格挡,普通,为自身添加1层格挡,自身,格挡×1,0,无
A16,小施灼烧,普通,对玩家施加2层灼烧,玩家主将,灼烧×2层,0,无
A17,横扫一刀,普通,对玩家造成伤害并附加1层破甲,玩家主将,伤害5~8+破甲×1,0,无
A18,蓄势待发,普通,为自身添加1层穿透,自身,穿透×1,0,无
B01,猛烈冲锋,精英,对玩家造成高额物理伤害,玩家主将,伤害18~25,0,无
B02,雷霆施法,精英,对玩家造成高额法术伤害忽视护甲,玩家主将,伤害15~20,0,无
B03,铁盾防守,精英,为自身添加大量护甲,自身,护甲+15~20,0,无
B04,破甲重击,精英,清空玩家全部护甲,玩家护甲,清空护甲,0,无
B05,剧毒浸染,精英,对玩家施加2层剧毒,玩家主将,剧毒×2层,0,无
B06,眩晕猛击,精英,对玩家造成伤害并施加1层眩晕,玩家主将,伤害10~14+眩晕×1,0,无
B07,火攻奇袭,精英,对玩家施加4层灼烧,玩家主将,灼烧×4层,0,无
B08,迷魂阵法,精英,对玩家施加1层混乱,玩家主将,混乱×1,0,无
B09,战场强化,精英,为自身叠加怒气和坚守各1层,自身,怒气+1+坚守+1,0,无
B10,瘟疫投射,精英,对玩家施加2层瘟疫,玩家主将,瘟疫×2层,0,无
B11,三连斩,精英,对玩家连续造成3次中等物理伤害,玩家主将,7×3次,0,无
B12,阴险诅咒,精英,向玩家抽牌堆或手牌加入1张诅咒卡,玩家卡组,加诅咒卡×1,0,无
B13,多层虚弱,精英,对玩家施加3层虚弱,玩家主将,虚弱×3层,0,无
B14,强力蓄势,精英,为自身添加2层怒气和1层穿透,自身,怒气+2+穿透+1,0,无
B15,掠夺手牌,精英,偷取玩家手牌中随机1张卡击败后归还,玩家手牌,偷取手牌1张,0,无
B16,召唤援军,精英,召唤1名普通敌人入场,战场,召唤普通敌人×1,2,无
B17,重伤连斩,精英,对玩家造成伤害并施加3层重伤,玩家主将,伤害8+重伤×3,0,无
B18,极速突刺,精英,对玩家造成伤害忽视1层格挡,玩家主将,伤害12~18+穿1格挡,0,无
C01,战阵突破,强力,对玩家造成极高物理伤害,玩家主将,伤害30~40,0,无
C02,天雷降临,强力,对玩家造成极高法术伤害忽视护甲与格挡,玩家主将,伤害25~35,0,无
C03,移阵换位,强力,自身移动到更有利位置优先躲避攻击集中位,自身,位置调整,1,无
C04,洗劫金库,强力,从玩家处偷取中等数量金币,玩家金币,偷取10~20金,2,无
C05,呼风唤雨,强力,改变当前节点天气随机切换为雨/风/雾/晴,战场天气,天气随机变更,2,无
C06,起雾遮目,强力,强制改变天气为雾持续3回合,战场天气,雾×3回合,3,无
C07,召唤精锐,强力,召唤1名精英敌人入场,战场,召唤精英敌人×1,3,无
C08,镜像分身,强力,复制自身生成一个属性减半的镜像敌人,战场,召唤镜像×1,4,无
C09,全军冲锋,强力,所有己方敌人本回合攻击伤害+50%,所有友军,全体伤害×1.5,2,无
C10,九宫阵法,强力,为所有己方敌人添加护甲,所有友军,各加护甲+8,2,无
C11,诅咒风暴,强力,向玩家手牌和抽牌堆各加入1张诅咒卡,玩家卡组,加诅咒×2,2,无
C12,绝地反击,强力,自身HP低于30%时造成双倍伤害并恢复10点HP,自身,双倍伤害+回血10,0,HP<30%且每场仅触发1次
C13,天命庇护,强力,为自身添加2层免疫,自身,免疫×2,3,无
C14,夺魄重击,强力,对玩家造成伤害同时清除玩家所有正面状态,玩家主将,伤害15+清除全Buff,0,无
C15,回天乏术,强力,将玩家手牌中最强一张卡暂时移除本战斗结束前归还,玩家手牌,移除最强卡×1,3,无
C16,鬼神之怒,强力,连续对玩家造成3次高额物理伤害每次附加随机负面状态1层,玩家主将,12×3次+随机Debuff×1,0,无
C17,乾坤大挪移,强力,强制移动自身至玩家正面位本回合行动+1次,自身,位置调整+额外行动,2,无
C18,末路求生,强力,自身HP低于20%时清空玩家护甲并为自身回血20点,玩家护甲+自身,清甲+回血20,0,HP<20%且每场仅触发1次
