编号,大类,卡名,类型,费用(LV1/LV2),LV1效果,LV2效果,地形联动,核心定位,历史原型
T01,步兵,步兵（基础）,兵种卡,0/0,对目标造成8点伤害,对目标造成6点伤害并攻击两次（共12点，受护甲影响，两次独立计算）,通用,快攻/双击,制式步兵
T02,步兵,虎贲卫,兵种卡,1/1,对目标造成10点伤害；若目标处于迟缓状态，额外造成5点伤害,对目标造成10点伤害；若目标处于迟缓状态，额外造成5点伤害并移除目标1层迟缓,水域,迟缓收割,周天子/西汉精锐近卫禁军
T03,步兵,刀盾手,兵种卡,1/1,对目标造成7点伤害，我方主将获得4点护盾,对目标造成7点伤害，我方主将获得6点护盾；若我方主将已有护盾，额外造成3点伤害,通用,攻守同步,汉代重装步兵（环首刀+圆盾）
T04,步兵,戟兵,兵种卡,1/1,对前排目标造成9点伤害；若无前排目标，改为对随机一名敌将造成6点伤害,对前排所有目标各造成9点伤害（独立计算护甲）；若无前排目标，改为对随机一名敌将造成8点伤害,位置联动,前排清场,秦汉长戟步兵
T05,步兵,山地步兵,兵种卡,0/0,对目标造成6点伤害；山地地形：改为造成10点伤害,对目标造成6点伤害并施加1层迟缓；山地地形：改为造成10点伤害并施加1层减甲（护甲-3直至战斗结束）,山地,山地快攻,蜀汉北伐精锐（秦岭/祁山山地兵）
T06,步兵,游侠,兵种卡,0/0,直击目标主将造成5点伤害（无视兵种层）；林地地形且目标有灼烧：改为8点伤害,直击所有敌将各造成4点伤害（无视兵种层）；林地地形且目标有灼烧：各改为7点伤害,林地,林地直击,汉末游侠文化（山林轻灵剑客）
T07,骑兵,骑兵（基础）,兵种卡,1/1,对目标造成5点伤害并附带击退,对目标造成5点伤害并附带击退和1层眩晕,平原（+50%伤害）,击退+眩晕,制式骑兵
T08,骑兵,轻骑兵,兵种卡,0/0,对目标造成4点伤害，下回合开始时再造成4点伤害（延迟伤害）；平原地形：两次伤害均+50%（各变为6点）,对目标造成4点伤害，接下来两回合结束时各造成4点伤害（共3次）；平原地形：所有伤害均+50%,平原（+50%伤害）,延迟持续伤,汉代边境骑射单位（应对匈奴）
T09,骑兵,火骑兵,兵种卡,2/2,对目标造成6点伤害，施加2层灼烧并执行击退,对前排所有敌将造成6点伤害，各施加2层灼烧并执行击退,林地×风（极限扩散火场）,击退+灼烧,三国火攻骑兵战术（火牛阵/火骑冲阵）
T10,骑兵,象兵,兵种卡,2/2,对目标造成8点伤害，施加1层震慑（目标下次出牌费用+1，持续1回合）,对所有敌将造成5点伤害并施加1层震慑；水域地形：震慑持续2回合,水域（震慑延长）,群震慑+费用压制,诸葛亮南征南蛮象兵（七擒孟获）
T11,骑兵,虎豹骑,兵种卡,2/2,对目标造成10点伤害+3点穿透伤害（无视护甲直扣HP）；若目标有护盾，消耗全部护盾并额外造成4点伤害,对前排所有目标造成10点伤害+3点穿透伤害；若目标有护盾，消耗护盾并额外造成4点伤害；平原地形：穿透伤害改为6点,平原（穿透翻倍）,穿透+破盾,曹操亲建精锐重骑（曹纯统领）
T12,骑兵,陌刀骑,兵种卡,2/2,对目标造成8点伤害并施加1层减速；山地地形：伤害改为12点，目标失去击退免疫（若有）持续2回合,对目标造成8点伤害并施加2层减速；山地地形：伤害改为12点且对所有敌将施加1层减速（全体减速飞溅）,山地（弥补骑兵劣势）,山地减速控制,三国末期至西晋重步骑混合兵种（陌刀专克骑兵）
T13,弓兵,弓兵（基础）,兵种卡,1/1,对任意目标造成7点伤害（受护甲影响）,对所有敌方目标各造成7点伤害（受护甲影响，独立计算）,通用,单体/全体伤害,制式弓兵
T14,弓兵,连弩兵,兵种卡,2/2,对随机敌将造成5点伤害，重复3次（每次独立选目标，可重复命中同一目标）,对随机敌将造成5点伤害重复3次；若本回合已打出其他远程卡，额外多射1次,通用,多段破甲,诸葛亮连弩（连续发射弩机）
T15,弓兵,火矢兵,兵种卡,1/1,对目标造成5点伤害并施加1层灼烧；林地地形：灼烧改为2层,对目标造成5点伤害并施加2层灼烧；林地地形：灼烧改为3层且本次攻击直击主将（无视兵种层）,林地（灼烧叠加）,灼烧引燃,汉末攻城战燃火箭矢部队（博望坡/赤壁箭雨）
T16,弓兵,投石兵,兵种卡,2/2,对目标造成12点伤害并无视护甲（直接扣HP不走护盾吸收）,对目标造成12点伤害无视护甲；若目标有护盾，额外造成5点伤害,通用,无视护甲破盾,三国攻城战投石车操作单位
T17,弓兵,弩车兵,兵种卡,2/2,对所有敌将造成5点伤害并施加1层减速；山地地形：减速改为2层,对所有敌将造成5点伤害并施加1层减速；若目标已处于减速则改为施加1层眩晕；山地地形：无需预先减速直接对所有目标施加眩晕,山地（群体眩晕）,山地眩晕链,汉代山道隘口重型弩机操作部队
T18,弓兵,火兵,兵种卡,1/1,对目标施加3层灼烧；林地地形：施加5层灼烧,对所有敌将施加2层灼烧；林地地形：施加3层灼烧；若天气为风，立即额外触发一次灼烧扩散（风的扩散效果提前触发）,林地×风（终极引燃）,全场引燃,三国火攻专业执行者（连营之战/博望坡）
T19,弓兵,猎人,兵种卡,1/1,对目标造成6点伤害；若目标处于灼烧或中毒状态，额外造成4点直击主将伤害（无视兵种层）,对目标造成6点伤害；若目标处于任意负面状态，额外造成6点直击主将伤害；林地地形：额外伤害改为8点,林地（状态收割）,状态收割,吴国山越部落弓猎单位
T20,谋士,谋士（基础）,兵种卡,1/1,对任意目标造成7点伤害,对任意目标造成7点伤害并施加1个随机Debuff（从当前战斗Debuff池随机选取1个以1层施加）,通用,随机Debuff,制式谋士
