ID,大类,卡名,类型,费用(LV1/LV2),LV1效果,LV2效果,地形联动,核心定位,历史原型
TC0001,步兵,步兵（基础）,兵种卡,0/0,对目标造成8点伤害,对目标造成6点伤害并攻击两次（共12点，受护甲影响，两次独立计算）,通用,快攻/双击,制式步兵
TC0002,步兵,虎贲卫,兵种卡,0/0,对目标造成10点伤害；若目标处于滑倒状态，额外造成5点伤害,对目标造成12点伤害；若目标处于滑倒状态，额外造成8点伤害,水域,滑倒收割,周天子/西汉精锐近卫禁军
TC0003,步兵,刀盾手,兵种卡,0/0,对目标造成7点伤害，我方获得5点护盾,对目标造成10点伤害，我方获得7点护盾,通用,攻守同步,汉代重装步兵（环首刀+圆盾）
TC0004,步兵,戟兵,兵种卡,0/0,对目标和身后目标造成9点和6点伤害,对目标和身后目标造成12点和8点伤害,位置联动,前排清场,秦汉长戟步兵
TC0005,步兵,山地步兵,兵种卡,0/0,对目标造成10点伤害；山地地形：额外造成5点伤害,对目标造成12点伤害；山地地形：额外造成8点伤害,山地,山地快攻,蜀汉北伐精锐（秦岭/祁山山地兵）
TC0006,步兵,游侠,兵种卡,0/0,对目标造成6点伤害；森林地形：必定暴击；无视护盾,对目标造成9点伤害；森林地形：必定暴击；无视护盾,森林,森林直击,汉末游侠文化（山林轻灵剑客）
TC0007,骑兵,骑兵（基础）,兵种卡,1/1,对目标造成5点伤害并附带击退,对目标造成5点伤害并附带击退和1层眩晕,平原（+50%伤害）,击退+眩晕,制式骑兵
TC0008,骑兵,轻骑兵,兵种卡,1/1,对目标造成7点伤害，击退目标1格,对目标造成10点伤害，击退目标1格,平原（+50%伤害）,延迟持续伤,汉代边境骑射单位（应对匈奴）
TC0009,骑兵,火骑兵,兵种卡,1/1,对目标造成9点伤害，施加2层灼烧并击退1格,对所有目标造成9点伤害，施加2层灼烧并击退1格,森林×风（极限扩散火场）,击退+灼烧,三国火攻骑兵战术（火牛阵/火骑冲阵）
TC0010,骑兵,象兵,兵种卡,1/1,对所有目标造成8点伤害，施加4层恐惧,对所有目标造成10点伤害，施加5层恐惧,水域（恐惧延长）,群恐惧+费用压制,诸葛亮南征南蛮象兵（七擒孟获）
TC0011,骑兵,虎豹骑,兵种卡,1/1,对目标造成10点伤害+3点穿透伤害（无视护甲直扣HP）；若目标有护盾，消耗全部护盾并额外造成4点伤害,对前排所有目标造成10点伤害+3点穿透伤害；若目标有护盾，消耗护盾并额外造成4点伤害；平原地形：穿透伤害改为6点,平原（穿透翻倍）,穿透+破盾,曹操亲建精锐重骑（曹纯统领）
TC0012,骑兵,陌刀骑,兵种卡,1/1,对目标造成8点伤害并施加1层减速；山地地形：伤害额外+4点，目标失去击退免疫（若有）持续2回合,对目标造成8点伤害并施加2层减速；山地地形：伤害额外+4点且对所有敌将施加1层减速（全体减速飞溅）,山地（弥补骑兵劣势）,山地减速控制,三国末期至西晋重步骑混合兵种（陌刀专克骑兵）
TC0013,弓兵,弓兵（基础）,兵种卡,1/1,对任意目标造成7点伤害（受护甲影响）,对所有敌方目标各造成7点伤害（受护甲影响，独立计算）,通用,单体/全体伤害,制式弓兵
TC0014,弓兵,连弩兵,兵种卡,2/2,对目标攻击3次，每次造成5点伤害，,对目标攻击5次，每次造成5点伤害,通用,多段破甲,诸葛亮连弩（连续发射弩机）
TC0015,弓兵,火矢兵,兵种卡,1/1,对目标造成5点伤害并施加1层灼烧；森林地形：灼烧改为2层,对目标造成5点伤害并施加2层灼烧；森林地形：灼烧改为3层且本次攻击直击（无视护甲）,森林（灼烧叠加）,灼烧引燃,汉末攻城战燃火箭矢部队（博望坡/赤壁箭雨）
TC0016,弓兵,投石兵,兵种卡,2/2,对目标造成12点伤害并无视护甲（直接扣HP不走护盾吸收）,对目标造成12点伤害无视护甲；若目标有护盾，额外造成5点伤害,通用,无视护甲破盾,三国攻城战投石车操作单位
TC0017,弓兵,弩车兵,兵种卡,2/2,对随机敌将造成5点伤害，重复4次（每次独立选目标，可重复命中同一目标）,对随机敌将造成5点伤害，重复5次（每次独立选目标，可重复命中同一目标）,山地（群体眩晕）,山地眩晕链,汉代山道隘口重型弩机操作部队
TC0018,弓兵,火兵,兵种卡,1/1,对目标施加3层灼烧；森林地形：施加5层灼烧,对所有敌将施加2层灼烧；森林地形：施加3层灼烧；若天气为风，立即额外触发一次灼烧扩散（风的扩散效果提前触发）,森林×风（终极引燃）,全场引燃,三国火攻专业执行者（连营之战/博望坡）
TC0019,弓兵,猎人,兵种卡,1/1,对目标造成6点伤害；若目标处于灼烧或中毒状态，额外造成4点直击伤害（无视护甲）,对目标造成6点伤害；若目标处于任意负面状态，额外造成6点直击伤害；森林地形：额外伤害改为8点,森林（状态收割）,状态收割,吴国山越部落弓猎单位
TC0020,谋士,谋士（基础）,兵种卡,1/1,对任意目标造成7点伤害,对任意目标造成7点伤害并施加1个随机Debuff（从当前战斗Debuff池随机选取1个以1层施加）,通用,随机Debuff,制式谋士
TC0021,谋士,细作,兵种卡,1/1,对目标施加1层暴露（暴露：目标受到的下一次攻击伤害+30%，触发后消除）,对所有敌将施加1层暴露；若目标已有暴露则改为施加1层中毒代替,通用,暴露→中毒升级,三国情报战细作（司马懿/荀彧情报渗透）
TC0022,谋士,方士,兵种卡,1/1,我方回复6点HP并对随机一名敌将施加1层中毒,我方回复8点HP并对随机一名敌将施加1层中毒；若我方当前HP低于最大值50%，回复量改为12点,通用,回血+持续毒伤,汉末道家方士文化（黄巾起义/五斗米道）
TC0023,谋士,刺客,兵种卡,2/2,直击随机一名敌将造成9点伤害（无视护甲）,直击生命值最低的敌将造成9点伤害（无视护甲）；若目标HP低于30%，此伤害翻倍（18点）,通用,斩首专精,战国至三国刺客文化（典韦护卫/荆轲刺秦）
TC0024,谋士,舞女,兵种卡,1/1,对目标敌将施加1层迷乱（迷乱：目标本回合打出的下一张卡随机改变目标，触发后消除）,对目标敌将施加1层迷乱+1层减速；若目标已处于迷乱，改为对所有敌将施加1层减速,通用,行动干扰,三国宴席歌舞伎乐（貂蝉连环计文化背景）
TC0025,谋士,黄巾信徒,兵种卡,1/1,对目标施加1层动摇（目标下回合攻击力-30%，持续1回合）+1层中毒,对所有敌将施加1层动摇+1层中毒；若场上已有中毒目标，额外对中毒目标施加1层虚弱（受到伤害+20%，持续2回合）,通用,多Debuff叠加,汉末黄巾之乱狂热信徒（太平道宣教者）
TC0026,盾兵,盾兵（基础）,兵种卡,1/1,我方获得8点护盾,我方获得8点护盾+1层坚守,通用,护盾+坚守,制式盾兵
TC0027,盾兵,重甲盾兵,兵种卡,1/1,我方获得12点护盾+1层迟钝（迟钝：本回合无法再打出攻击类卡牌，但防御类卡牌费用-1）,我方获得16点护盾+1层迟钝；若我方已有护盾，不叠加迟钝（熟练后无副作用）,通用,高护盾+攻守代价,汉代重甲部队（曹魏对应步兵单位）
TC0028,盾兵,水兵,兵种卡,1/1,获得6点护盾；水域地形：额外获得4点护盾并清除我方1层滑倒,获得8点护盾并清除我方1层滑倒；水域地形：护盾额外+6点并对所有敌将施加1层滑倒,水域（攻守逆转）,滑倒逆转,周瑜江东水军（赤壁之战主力）
TC0029,盾兵,壁垒工兵,兵种卡,1/1,我方获得10点护盾+1层坚守；山地地形：护盾额外+5点，坚守改为2层,我方获得12点护盾+2层坚守；山地地形：护盾额外+6点，本回合内所有防御类卡牌效果+30%,山地（超级防线）,山地超级盾,曹操屯田制半军事化工兵（山地要塞防守）
TC0030,盾兵,藤甲兵,兵种卡,1/1,我方获得10点护盾；护盾存续期间免疫灼烧伤害但护盾受到伤害+50%（灼烧以消耗护盾为代价）,我方获得12点护盾+1层坚守；护盾存续期间免疫灼烧伤害，护盾受到伤害+50%；山地地形：护盾额外+4点,森林（灼烧免疫）/山地（最高护盾量）,森林灼烧免疫盾,三国演义乌戈国藤甲兵（七擒孟获）
