编号,卡名,职业/阵营,类型,稀有度,费用(LV1/LV2),LV1效果,LV2效果,是否移除(LV1/LV2),连击标签
001,破阵斩,通用,攻击-近战,常规,0/0,对目标造成8伤害,对目标造成10伤害,否/否,"近战,起手"
002,追身突刺,通用,攻击-近战,常规,1/1,对目标造成12伤害；若其有负面则+4,对目标造成12伤害；若其有负面则+4；基础伤害14；有负面时额外+6,否/否,"近战,负面联动"
003,横扫千军,通用,攻击-近战,常规,2/2,对敌方目标全体造成10伤害,对敌方目标全体造成10伤害；伤害提升至13,否/否,"近战,群攻"
004,穿云箭,通用,攻击-远程,常规,1/1,对任意敌方目标造成11伤害,对任意敌方目标造成11伤害；伤害提升至14,否/否,"远程,点杀"
005,连珠箭,通用,攻击-远程,常规,2/2,随机2次每次对可见敌人造成7伤害,随机2次每次对可见敌人造成7伤害；改为2次×9伤害,否/否,"远程,连击"
006,定点狙袭,通用,攻击-远程,常规,3/2,对敌将（可直击主将）造成24伤害,对敌将（可直击主将）造成24伤害；费用-1且伤害26,是/否,"远程,斩首"
007,破甲重击,通用,攻击-近战,常规,2/2,对目标造成14伤害并施加2层破甲,对目标造成14伤害并施加2层破甲；伤害17且破甲3层,否/否,"近战,破甲"
008,火矢齐发,通用,攻击-远程,常规,3/3,敌方全体造成8伤害并附1层灼烧,敌方全体10伤害并附1层灼烧,是/否,"远程,群攻,灼烧"
009,越位突刺,通用,攻击-近战,常规,1/1,可越位攻击任意目标并造成10伤害,可越位攻击任意目标，造成13伤害,否/否,"近战,越位"
010,压阵猛攻,通用,攻击-近战,常规,2/2,对目标16伤害若其为兵种再+4,对目标16伤害若其为兵种再+4；基础18且对兵种额外+6,否/否,"近战,反兵"
011,疾风三连,通用,攻击-近战,常规,2/2,对目标连续3次各5伤害,对目标连续3次各5伤害连续3次各6伤害,否/否,"近战,多段"
012,弓弦震击,通用,攻击-远程,常规,1/1,任意目标9伤害并施加1层迟缓,11伤害并施加1层迟缓,否/否,"远程,控制"
013,夜战突矢,通用,攻击-远程,常规,2/1,任意目标15伤害,任意目标15伤害；费用-1且伤害16,否/否,"远程,效率"
014,断甲穿喉,通用,攻击-近战,常规,3/3,目标22伤害若有破甲再+8,目标22伤害若有破甲再+8；基础24且破甲加成+10,是/否,"近战,终结"
015,追猎标记,通用,攻击-远程,常规,1/1,造成7伤害并标记目标你下次对其攻击+5,造成7伤害，造成9伤害且后续加成+6,否/否,"远程,连段"
016,扰阵飞石,通用,攻击-远程,常规,1/1,随机敌方2次各4伤害,对目标随机2次各5伤害,否/否,"远程,多段"
017,齐步压上,通用,攻击-近战,常规,2/2,目标13伤害若你有步兵在场改为18,无步兵15有步兵21,否/否,"近战,兵种联动"
018,夺旗斩,通用,攻击-近战,常规,2/2,目标14伤害若本回合已打过战术牌再+6,目标14伤害若本回合已打过战术牌再+6；基础16且连携+7,否/否,"近战,战术连携"
019,霹雳箭雨,通用,攻击-远程,常规,3/3,敌方随机3次各7伤害,对目标随机3次各9伤害,是/否,"远程,爆发"
020,破胆喝令,通用,攻击-战术,常规,1/1,对任意目标8伤害并施加1层虚弱,10伤害并施加1层虚弱,否/否,"控制,负面联动"
021,举盾,通用,防御,常规,1/1,获得10护甲,获得13护甲,否/否,护甲
022,守势反击,通用,防御,常规,1/1,获得7护甲本回合受击后对攻击者反伤6,获得7护甲本回合受击后对攻击者反伤6；护甲9且反伤8,否/否,"护甲,反击"
023,军阵固守,通用,防御,常规,2/2,我方全体获得8护甲,我方全体获得8护甲，我方全体获得10护甲,否/否,群体防御
024,铁壁,通用,防御,常规,2/2,获得16护甲并免疫一次位移,获得16护甲，获得20护甲并免疫一次位移,否/否,"护甲,抗控"
025,韧性,通用,防御,常规,1/1,移除1层控制并获得8护甲,移除1层控制，移除1层控制并获得11护甲,否/否,"净化,护甲"
026,守城令,通用,防御,常规,3/3,本回合你受到伤害-40%,本回合你受到伤害-50%,是/否,"减伤,回合技"
027,拒马阵,通用,防御,常规,2/2,获得12护甲且敌方骑兵本回合伤害-25%,获得12护甲且敌方骑兵本回合伤害-25%，获得15护甲且骑兵伤害-30%,否/否,"护甲,反骑"
028,以守待攻,通用,防御,常规,1/1,获得9护甲若本回合未攻击下回合抽1,获得9护甲若本回合未攻击下回合抽1，护甲11且触发时下回合抽2,否/否,"运营,过牌"
029,盾阵轮换,通用,防御,常规,2/2,获得14护甲并抽1,获得14护甲，获得17护甲并抽1,否/否,"护甲,过牌"
030,坚壁清野,通用,防御-战术,常规,2/1,获得10护甲并使敌方全体攻击-10%1回合,获得10护甲并使敌方全体攻击-10%1回合；费用-1且护甲12并维持减攻,否/否,"护甲,群体减益"
031,危城死守,通用,防御,常规,3/3,获得24护甲,获得28护甲,是/否,"高护甲,爆发防"
032,备战整甲,通用,防御,常规,1/1,抽1并获得6护甲,抽1，抽1并获得9护甲,否/否,"过牌,护甲"
033,侧翼掩护,通用,防御-兵种协同,常规,1/1,你与友方兵种各获得6护甲,你与友方兵种各获得6护甲，你与友方兵种各获得8护甲,否/否,"兵种联动,群防"
034,守心定神,通用,防御,常规,1/1,移除1层混乱或虚弱并抽1,移除1层混乱或虚弱，额外获得5护甲,否/否,"净化,过牌"
035,金汤之势,通用,防御,常规,2/2,获得15护甲若你有将令≥1再+5,获得15护甲若你有将令≥1再+5，获得18护甲且将令加成+6,否/否,"护甲,将令联动"
036,护军铁令,通用,防御-兵种协同,常规,2/2,附属兵种获得12护甲,附属兵种获得12护甲，附属兵种获得16护甲,否/否,兵种防护
037,调度,通用,战术,常规,1/1,抽1并重置1张≤1费手牌,抽1，抽1并重置1张≤2费手牌,否/否,"过牌,重置"
038,诈降,通用,战术-负面,常规,2/2,目标攻击-25%持续1回合,目标攻击-30%持续1回合,否/否,"负面,控攻"
039,佯攻转实,通用,战术,常规,2/2,本回合下一张攻击牌伤害+8,本回合下一张攻击牌伤害+11,否/否,"增伤,连段"
040,号令齐发,通用,战术-兵种协同,常规,2/2,本回合你与兵种伤害+20%,本回合你与兵种伤害+25%,否/否,"兵种联动,爆发"
041,军心整肃,通用,战术,常规,1/1,抽1若手牌有负面再抽1,抽1若手牌有负面再抽1，抽1若手牌有负面改为再抽2,否/否,"过牌,负面经营"
042,诱敌深入,通用,战术-控制,常规,3/3,敌目标获得易伤2层并被集火1回合,易伤3层并被集火1回合,是/否,"控场,易伤"
043,战鼓催征,通用,战术,常规,1/1,获得1点将令充能,获得1点将令充能，获得1点将令充能并抽1,否/否,"将令,节奏"
044,兵书推演,通用,战术,常规,1/1,查看牌库顶3张选1加入手牌其余置底,查看牌库顶4张选1加入手牌其余置底,否/否,"检索,运营"
045,分兵奇袭,通用,战术-兵种协同,常规,2/2,若有存在附属兵种随机敌方造成2次各6伤害,若有存在附属兵种随机敌方造成2次各6伤害，随机敌方造成2次各8伤害,否/否,"兵种联动,多段"
046,暗渡陈仓,通用,战术,常规,2/1,抽2弃1,抽2弃1；费用-1且抽2弃1,否/否,"过牌,滤牌"
047,士气激扬,通用,战术,常规,2/2,本回合你打出的前2张攻击牌各+4伤害,本回合前2张攻击牌各+6伤害,否/否,"连击,增伤"
048,诡道布疑,通用,战术-负面,常规,2/2,对目标施加混乱1回合,混乱1回合并附虚弱1层,否/否,"控制,负面"
049,缓兵之计,通用,战术-控制,常规,1/1,目标施加迟缓1层并抽1,目标施加迟缓1层，目标施加迟缓2层并抽1,否/否,"控制,过牌"
050,合围指令,通用,战术-兵种协同,常规,2/2,本回合兵种首次攻击后你抽1,本回合兵种首次攻击后你抽1，兵种前两次攻击各触发抽1上限2,否/否,"兵种联动,引擎"
051,步阵推进,通用,兵种协同,常规,1/1,步兵本回合攻击+20%且护甲+6,步兵攻击+25%且护甲+8,否/否,步兵联动
052,骑袭号角,通用,兵种协同,常规,2/2,骑兵本回合突击伤害+30%,骑兵本回合突击伤害+40%,否/否,骑兵联动
053,弓阵齐射,通用,兵种协同,常规,2/2,弓兵立即追加1次7点远程打击,弓兵立即追加1次10点远程打击,否/否,弓兵联动
054,混编战术,通用,兵种协同,常规,2/2,每有1种我方兵种本卡获得+5护甲与+3伤害,每种兵种改为+6护甲与+4伤害,否/否,编制联动
055,枪阵拒马,通用,兵种协同,常规,1/1,枪兵本回合受近战伤害-25%,枪兵本回合受近战伤害-35%,否/否,"枪兵联动,反近战"
056,军阵整编,通用,兵种协同,常规,2/2,恢复所有兵种8生命,恢复所有兵种8生命，恢复所有兵种12生命,否/否,兵种续航
057,携刃前压,通用,兵种协同-攻击,常规,1/1,若有任一存在附属兵种对目标造成12伤害,若有任一存在附属兵种对目标造成12伤害，若有存在附属兵种造成14伤害,否/否,联动触发
058,兵势转圜,通用,兵种协同-战术,常规,2/2,移除1个我方兵种负面并抽1,移除1个我方兵种负面，移除1个我方兵种负面并抽2,否/否,"净化,兵种联动"
059,统御加派,通用,兵种协同,常规,2/2,本战斗容量上限+1,本战斗容量上限+2,是/是,"容量,构筑"
060,援军急召,通用,兵种协同,常规,3/2,立即召唤1个随机基础兵种不超过容量,立即召唤1个随机基础兵种不超过容量；费用-1且召唤后该兵种获得8护甲,是/否,"召唤,展开"
061,扬沙,通用,地形操控,常规,1/1,地形转为沙地并使敌方命中-10%持续1回合,地形转沙地且敌方命中-15%持续1回合,否/否,"地形,削弱"
062,火线蔓延,通用,地形操控,常规,2/2,地形转为火地并使敌方全体获得1层灼烧,地形转为火地，地形转火地且敌方全体获得2层灼烧,否/否,"地形,灼烧"
063,雨战整军,通用,地形操控,常规,2/2,地形转为雨地并使双方爆发伤害-15%持续1回合,爆发伤害-20%持续1回合,否/否,"地形,节奏"
064,构筑壕沟,通用,地形操控,常规,2/2,地形转为防御地并使我方全体减伤10%持续1回合,我方全体减伤15%持续1回合,否/否,"地形,防御"
065,林地伏击,通用,地形操控-攻击,常规,2/2,地形为林地时对任意目标造成16伤害否则造成10,林地伤害20否则12,否/否,"地形,点杀"
066,平原冲阵,通用,地形操控-兵种协同,常规,1/1,地形转平原本回合骑兵伤害+20%,地形转平原本回合骑兵伤害+30%,否/否,"地形,骑兵联动"
067,山道坚守,通用,地形操控-防御,常规,1/1,地形转山地并获得10护甲,地形转山地，地形转山地并获得14护甲,否/否,"地形,护甲"
068,沼泽牵制,通用,地形操控-控制,常规,2/2,地形转沼地使敌目标获得迟缓1层,地形转沼地使敌目标迟缓2层,否/否,"地形,控制"
069,霜地结阵,通用,地形操控-防御,常规,2/2,地形转寒地使我方获得8护甲并移除1层灼烧,地形转寒地使我方获得8护甲，获得10护甲并移除2层灼烧,否/否,"地形,净化"
070,燎原风向,通用,地形操控-战术,常规,1/1,若当前为火地抽1否则改为火地,若当前为火地抽1否则改为火地，若当前为火地抽2否则改为火地并抽1,否/否,"地形,过牌"
071,地利改道,通用,地形操控-战术,常规,1/1,将当前地形变更为你上一回合使用过的地形标签,将当前地形变更为你上一回合使用过的地形标签，改道后额外获得1点将令充能,否/否,"地形,将令"
072,拒水列阵,通用,地形操控-兵种协同,常规,2/2,地形转浅水并使敌骑兵伤害-25%持续1回合,敌骑兵伤害-35%持续1回合,否/否,"地形,反骑"
073,焦土军令,通用,地形操控-负面,常规,3/2,地形转焦土地敌方全体获得1层虚弱,地形转焦土地敌方全体获得1层虚弱；费用-1且敌方全体获得2层虚弱,是/否,"地形,群体负面"
074,高地齐射,通用,地形操控-兵种协同,常规,2/2,地形为山地时弓兵立即追加一次8点攻击,山地时追加一次11点攻击,否/否,"地形,弓兵联动"
075,移阵换形,通用,地形操控,常规,0/0,将当前地形改为随机地形并抽1,将当前地形改为随机地形，将当前地形改为可选2选1并抽1,否/否,"地形,运营"
076,毒计,通用,负面,常规,2/2,目标获得中毒2层,目标获得中毒2层，目标获得中毒3层,否/否,"施咒,中毒"
077,疑兵扰阵,通用,负面-控制,常规,2/2,目标获得混乱1回合,目标获得混乱1回合，目标获得混乱1回合并虚弱1层,否/否,"施咒,混乱"
