编号,卡名,职业/阵营,类型,稀有度,费用(LV1/LV2),LV1效果,LV2效果,是否移除(LV1/LV2),连击标签
001,破阵斩,通用,近战攻击,常规,0/0,对目标造成8伤害,对目标造成10伤害,否/否,"近战,起手"
002,追身突刺,通用,近战攻击,常规,1/1,对目标造成12伤害，若目标有诅咒则额外+4伤害,对目标造成14伤害，若目标有诅咒则额外+6伤害,否/否,"近战,诅咒联动"
003,横扫千军,通用,近战攻击,常规,2/2,对敌方全体目标造成10伤害,对敌方全体目标造成13伤害,否/否,"近战,群攻"
004,穿云箭,通用,远程攻击,常规,1/1,对任意敌方目标造成11伤害,对任意敌方目标造成14伤害,否/否,"远程,点杀"
005,连珠箭,通用,远程攻击,常规,2/2,随机对2个可见敌人各造成7伤害,随机对2个可见敌人各造成9伤害,否/否,"远程,连击"
006,定点狙袭,通用,远程攻击,常规,3/2,对敌将造成24伤害（可直击主将）,对敌将造成26伤害（可直击主将），费用-1,是/否,"远程,斩首"
007,破甲重击,通用,近战攻击,常规,2/2,对目标造成14伤害并施加2层破甲,对目标造成17伤害并施加3层破甲,否/否,"近战,破甲"
008,火矢齐发,通用,远程攻击,常规,3/3,对敌方全体造成8伤害并施加1层灼烧,对敌方全体造成10伤害并施加1层灼烧,是/否,"远程,群攻,灼烧"
009,越位突刺,通用,近战攻击,常规,1/1,可越位攻击任意目标并造成10伤害,可越位攻击任意目标并造成13伤害,否/否,"近战,越位"
010,压阵猛攻,通用,近战攻击,常规,2/2,对目标造成16伤害，若目标是兵种则额外+4伤害,对目标造成18伤害，若目标是兵种则额外+6伤害,否/否,"近战,反兵"
011,疾风三连,通用,近战攻击,常规,2/2,对目标连续3次各造成5伤害,对目标连续3次各造成6伤害,否/否,"近战,多段"
012,弓弦震击,通用,远程攻击,常规,1/1,对任意目标造成9伤害并施加1层迟缓,对任意目标造成11伤害并施加1层迟缓,否/否,"远程,控制"
013,夜战突矢,通用,远程攻击,常规,2/1,对任意目标造成15伤害,对任意目标造成16伤害，费用-1,否/否,"远程,效率"
014,断甲穿喉,通用,近战攻击,常规,3/3,对目标造成22伤害，若目标有破甲则额外+8伤害,对目标造成24伤害，若目标有破甲则额外+10伤害,是/否,"近战,终结"
015,追猎标记,通用,远程攻击,常规,1/1,对目标造成7伤害并标记，下次攻击该目标时+5伤害,对目标造成9伤害并标记，下次攻击该目标时+6伤害,否/否,"远程,连段"
016,扰阵飞石,通用,远程攻击,常规,1/1,随机对2个敌方目标各造成4伤害,对目标随机2次各造成5伤害,否/否,"远程,多段"
017,齐步压上,通用,近战攻击,常规,2/2,对目标造成13伤害，若有步兵在场则改为18伤害,若有步兵在场则造成21伤害，否则造成15伤害,否/否,"近战,兵种联动"
018,夺旗斩,通用,近战攻击,常规,2/2,对目标造成14伤害，若本回合已打过技能牌则额外+6伤害,对目标造成16伤害，若本回合已打过技能牌则额外+7伤害,否/否,"近战,技能连携"
019,霹雳箭雨,通用,远程攻击,常规,3/3,随机对3个敌方目标各造成7伤害,随机对3个敌方目标各造成9伤害,是/否,"远程,爆发"
020,破胆喝令,通用,攻击-技能,常规,1/1,对任意目标造成8伤害并施加1层虚弱,对任意目标造成10伤害并施加1层虚弱,否/否,"控制,诅咒联动"
021,举盾,通用,技能,常规,1/1,获得10护甲,获得13护甲,否/否,护甲
022,守势反击,通用,技能,常规,1/1,获得7护甲，本回合受击后对攻击者反伤6,获得9护甲，本回合受击后对攻击者反伤8,否/否,"护甲,反击"
023,军阵固守,通用,技能,常规,2/2,我方全体获得8护甲,我方全体获得10护甲,否/否,群体技能
024,铁壁,通用,技能,常规,2/2,获得16护甲并免疫一次位移,获得20护甲并免疫一次位移,否/否,"护甲,抗控"
025,韧性,通用,技能,常规,1/1,移除1层控制并获得8护甲,移除2层控制并获得11护甲,否/否,"净化,护甲"
026,守城令,通用,技能,常规,3/3,本回合受到伤害-40%,本回合受到伤害-50%,是/否,"减伤,回合技"
027,拒马阵,通用,技能,常规,2/2,获得12护甲且本回合敌方骑兵伤害-25%,获得15护甲且本回合敌方骑兵伤害-30%,否/否,"护甲,反骑"
028,以守待攻,通用,技能,常规,1/1,获得9护甲，若本回合未攻击则下回合抽1,获得11护甲，若本回合未攻击则下回合抽2,否/否,"运营,过牌"
029,盾阵轮换,通用,技能,常规,2/2,获得14护甲并抽1,获得17护甲并抽1,否/否,"护甲,过牌"
030,坚壁清野,通用,技能-技能,常规,2/1,获得10护甲并使敌方全体攻击-10%持续1回合,获得12护甲并使敌方全体攻击-10%持续1回合，费用-1,否/否,"护甲,群体减益"
031,危城死守,通用,技能,常规,3/3,获得24护甲,获得28护甲,是/否,"高护甲,爆发防"
032,备战整甲,通用,技能,常规,1/1,抽1并获得6护甲,抽1并获得9护甲,否/否,"过牌,护甲"
033,侧翼掩护,通用,技能-技能,常规,1/1,我方全体与友方兵种各获得6护甲,我方全体与友方兵种各获得8护甲,否/否,"兵种联动,群防"
