序号,武将,阵营,战役,所属州,地形,默认天气,发生时间,历史背景,史实战役,对阵知名将领
1,曹操,魏,陈留起兵,兖州,平原,晴,189年,曹操在陈留散家财聚兵，讨伐董卓之始,讨董联军,董卓/吕布/李儒
2,曹操,魏,兖州驱吕,兖州,平原,晴,194年,曹操从吕布手中夺回兖州，濮阳大战,濮阳之战,吕布/陈宫/高顺
3,曹操,魏,官渡争锋,冀州,平原,风,200年,曹操以弱胜强，火烧乌巢，击败袁绍,官渡之战,袁绍/沮授/审配/许攸
4,曹操,魏,北方平定,幽州,雪地,晴,207年,曹操远征乌桓，斩蹋顿，统一北方,白狼山之战,蹋顿/楼班/乌延
5,曹操,魏,赤壁转折,荆州,水域,风,208年,赤壁之战，曹操南征折戟，转守为攻,赤壁之战,周瑜/黄盖/诸葛亮/刘备
6,曹操,魏,汉中争衡,益州,山地,晴,219年,曹操与刘备争夺汉中，最终撤军,汉中之战,刘备/法正/黄忠/赵云
7,夏侯惇,魏,濮阳鏖战,兖州,平原,晴,194年,吕布攻兖州，夏侯惇于濮阳死守,濮阳之战,吕布/高顺/张辽/陈宫
8,夏侯惇,魏,小沛之战,徐州,平原,晴,198年,吕布遣高顺、张辽攻刘备于小沛，曹操命夏侯惇驰援,小沛之战,吕布/高顺/张辽/陈宫
8,夏侯惇,魏,下邳困关羽,徐州,平原,晴,199年,曹操攻徐州，关羽守下邳，夏侯惇为先锋诱敌出城,徐州之战,关羽/张飞/刘备
9,夏侯惇,魏,官渡侧翼,冀州,平原,风,200年,官渡之战期间夏侯惇守护左翼侧线,官渡之战·侧翼防守,袁绍/颜良/文丑/沮授
10,夏侯惇,魏,汉中对峙,益州,山地,雾,217年,曹刘汉中相持，夏侯惇驻守汉中前线,汉中相持,刘备/法正/黄忠
12,张辽,魏,并州历练,并州,山地,晴,189年,张辽早年跟随丁原、吕布，并州从军,并州边境战事,丁原/南匈奴单于/须卜骨都侯
13,张辽,魏,下邳突击,徐州,沼泽,雨,198年,曹操攻下邳，张辽劝降关羽立功,下邳之战,吕布/高顺/陈宫
14,张辽,魏,合肥防线,扬州,水域,晴,213年,张辽镇守合肥，多次抵御孙权进攻,合肥之战,孙权/凌统/蒋钦/陈武
15,张辽,魏,逍遥津扬名,扬州,水域,雾,215年,张辽率800骑奇袭孙权，威震逍遥津,逍遥津之战,孙权/凌统/甘宁/蒋钦
16,张辽,魏,广陵追击,扬州,水域,晴,222年,张辽追击撤退的孙权军，大破吴军于广陵,广陵追击战,孙权/诸葛瑾/丁奉/贺齐
17,司马懿,魏,新城夺权,荆州,山地,晴,228年,司马懿突袭孟达于新城，八日破城，展现决断,新城之战,孟达/申仪/李辅
18,司马懿,魏,街亭截击,凉州,山地,晴,228年,马谡失街亭，司马懿乘势截断蜀军退路,街亭之战,马谡/王平/高详
19,司马懿,魏,辽东征伐,幽州,雪地,晴,238年,远征公孙渊，平定辽东，大获全胜,辽东平公孙渊之战,公孙渊/卑衍/杨祚
20,司马懿,魏,高平陵变,司州,关隘,雾,249年,发动高平陵政变，掌控曹魏政权,高平陵之变,曹爽/何晏/丁谧/邓飏
21,司马懿,魏,淮南平乱,扬州,沼泽,雨,251年,平定毌丘俭、王凌淮南叛乱,王凌之乱,王凌/令狐愚/杨弘
22,典韦,魏,清剿黄巾,兖州,平原,晴,194年,随曹操清剿兖州黄巾残部，先登陷阵，所向披靡,清剿兖州黄巾残部,吕布/高顺/陈宫
22,典韦,魏,定陶破吕,兖州,平原,晴,195年,曹操与吕布决战定陶，典韦冲阵先锋立功,定陶之战,张绣/贾诩/刘表
