序号,武将,阵营,战役,所属州,地形,默认天气,发生时间,历史背景,史实战役,对阵主将,其他对阵将领,第一幕BOSS,第二幕BOSS
1,曹操,魏,陈留起兵,兖州,平原,晴,189年,曹操在陈留散家财聚兵，讨伐董卓之始,讨董联军,董卓,牛辅/徐荣/李儒/华雄/吕布,牛辅/徐荣/李儒,华雄/吕布
2,曹操,魏,兖州驱吕,兖州,平原,晴,194年,曹操从吕布手中夺回兖州，濮阳大战,濮阳之战,吕布,宋宪/魏续/高顺/张辽/陈宫,宋宪/魏续/高顺,张辽/陈宫
3,曹操,魏,官渡争锋,司州,平原,风,200年,曹操以弱胜强，火烧乌巢，击败袁绍,官渡之战,袁绍,许攸/审配/沮授/文丑/颜良,许攸/审配/沮授,文丑/颜良
4,曹操,魏,北征乌桓,幽州,雪地,晴,207年,曹操远征乌桓，斩蹋顿，统一北方,白狼山之战,蹋顿,苏仆延/难楼/乌延/楼班/袁尚,苏仆延/难楼/乌延,楼班/袁尚
5,曹操,魏,赤壁转折,荆州,水域,风,208年,赤壁之战，曹操南征折戟，转守为攻,赤壁之战,周瑜,程普/黄盖/甘宁/刘备/诸葛亮,程普/黄盖/甘宁,刘备/诸葛亮
6,曹操,魏,渭南之战,司州,关隘,晴,211年,曹操击败马超、韩遂，平定关中地区,渭南之战,马超,韩遂/庞德/马岱/成宜/程银,韩遂/庞德/马岱,成宜/程银
7,夏侯惇,魏,濮阳鏖战,兖州,平原,晴,194年,吕布攻兖州，夏侯惇于濮阳死守,濮阳之战,吕布,宋宪/魏续/高顺/张辽/陈宫,宋宪/魏续/高顺,张辽/陈宫
8,夏侯惇,魏,小沛之战,徐州,平原,晴,198年,吕布遣高顺、张辽攻刘备于小沛，曹操命夏侯惇驰援,小沛之战,吕布,侯成/宋宪/高顺/张辽/陈宫,侯成/宋宪/高顺,张辽/陈宫
9,夏侯惇,魏,下邳困关羽,徐州,平原,晴,199年,曹操攻徐州，关羽守下邳，夏侯惇为先锋诱敌出城,徐州之战,关羽,孙乾/简雍/糜竺/张飞/刘备,孙乾/简雍/糜竺,张飞/刘备
10,夏侯惇,魏,官渡侧翼,司州,平原,风,200年,官渡之战期间夏侯惇守护左翼侧线,官渡之战·侧翼防守,袁绍,高览/沮授/张郃/文丑/颜良,高览/沮授/张郃,文丑/颜良
12,夏侯惇,魏,汉中对峙,益州,山地,雾,217年,曹刘汉中相持，夏侯惇驻守汉中前线,汉中相持,刘备,法正/黄忠/马超/赵云/张飞,法正/赵云/马超,黄忠/张飞
13,张辽,魏,并州历练,并州,山地,晴,189年,张辽早年跟随丁原、吕布，并州从军,并州边境战事,丁原,呼厨泉/于夫罗/须卜骨都侯/张杨/南匈奴单于,呼厨泉/于夫罗/须卜骨都侯,张杨/南匈奴单于
14,张辽,魏,濮阳之战,兖州,平原,晴,194年,张辽原属吕布麾下，与曹操军于濮阳激战,濮阳之战,曹操,李典/乐进/程昱/荀彧/夏侯惇,李典/乐进/程昱,荀彧/夏侯惇
15,张辽,魏,北征乌桓,幽州,雪地,晴,207年,随曹操远征乌桓，白狼山一战斩蹋顿,白狼山之战,蹋顿,苏仆延/难楼/乌延/楼班/袁尚,苏仆延/难楼/乌延,楼班/袁尚
16,张辽,魏,合肥防线,扬州,水域,晴,213年,张辽镇守合肥，多次抵御孙权进攻,合肥之战,孙权,蒋钦/陈武/凌统/甘宁/吕蒙,蒋钦/陈武/凌统,甘宁/吕蒙
17,张辽,魏,逍遥津扬名,扬州,水域,雾,215年,张辽率800骑奇袭孙权，威震逍遥津,逍遥津之战,孙权,蒋钦/陈武/凌统/甘宁/吕蒙,蒋钦/陈武/凌统,甘宁/吕蒙
18,张辽,魏,广陵追击,扬州,水域,晴,222年,张辽追击撤退的孙权军，大破吴军于广陵,广陵追击战,孙权,贺齐/丁奉/潘璋/徐盛/诸葛瑾,贺齐/丁奉/潘璋,徐盛/诸葛瑾
